de,1=的
yi,1=一
le,1=了
ui,1=是
bu,1=不
wo,1=我
zd,1=在
rf,1=人
yz,1=有
ve,1=这
ta,1=他
ld,1=来
ge,1=个
ni,1=你
uo,1=说
uh,1=上
dc,1=到
jq,1=就
da,1=大
mf,1=们
na,1=那
me,1=么
ye,1=也
di,1=地
zi,1=子
xx,1=下
iu,1=出
kj,1=看
yc,1=要
vs,1=中
mw,1=没
rj,1=然
li,1=里
ww,1=为
go,1=过
hc,1=好
qu,1=去
hv,1=会
tm,1=天
hd,1=还
hz,1=后
xn,1=小
dz,1=都
he,1=和
dv,1=对
xl,1=想
ng,1=能
uz,1=手
er,1=而
vi,1=只
ug,1=生
uf,1=身
tz,1=头
yh,1=样
do,1=多
mm,1=面
kd,1=开
ru,1=如
wu,1=无
hf,1=很
dm,1=点
qm,1=前
fa,1=发
jk,1=经
ba,1=把
lc,1=老
hx,1=话
so,1=所
dj,1=但
ig,1=成
nm,1=年
dh,1=当
nv,1=女
vf,1=真
cs,1=从
ys,1=用
ih,1=长
ds,1=动
jm,1=间
zz,1=走
rh,1=让
bw,1=被
gw,1=给
vg,1=正
wf,1=问
cd,1=才
xk,1=行
sj,1=三
dk,1=定
jb,1=进
jl,1=将
ts,1=同
zv,1=最
bf,1=本
ff,1=分
xt,1=学
gc,1=高
zf,1=怎
tk,1=听
bm,1=边
qi,1=其
qt,1=却
kz,1=口
jt,1=觉
aa,1=啊
yb,1=因
bd,1=白
ci,1=次
zo,1=做
wd,1=外
gl,1=光
fg,1=风
vu,1=主
yu,1=与
qr,1=全
ma,1=吗
dg,1=等
bp,1=别
se,1=色
vh,1=张
td,1=太
ri,1=日
uc,1=少
bi,1=比
kk,1=快
mk,1=名
ne,1=呢
jn,1=叫
yk,1=应
fh,1=放
nj,1=难
gg,1=更
gr,1=关
jp,1=接
xm,1=先
bk,1=并
si,1=四
gh,1=刚
gf,1=跟
yt,1=月
ai,1=爱
nw,1=内
ls,1=龙
ks,1=空
dd,1=带
vc,1=找
lm,1=连
ii,1=吃
lb,1=林
qb,1=亲
ql,1=强
lu,1=路
ie,1=车
jx,1=加
ho,1=活
te,1=特
bn,1=表
hw,1=黑
hs,1=红
vr,1=转
zs,1=总
sr,1=算
fj,1=反
gs,1=工
xb,1=新
fw,1=非
yy,1=云
wj,1=万
gj,1=干
wh,1=往
ll,1=量
zc,1=早
pa,1=怕
la,1=拉
qp,1=且
du,1=度
uv,1=谁
lg,1=冷
lo,1=落
rs,1=容
gk,1=怪
ir,1=传
ti,1=提
ul,1=双
uu,1=数
vz,1=周
bj,1=办
tn,1=条
mb,1=民
bh,1=帮
ji,1=即
mh,1=忙
ha,1=哈
pm,1=片
qk,1=请
bc,1=报
co,1=错
mj,1=慢
ro,1=若
vy,1=准
ke,1=克
gz,1=够
pc,1=跑
qq,1=求
ly,1=论
ze,1=则
yr,1=元
tr,1=团
vl,1=装
lr,1=乱
hl,1=黄
xq,1=修
po,1=破
ya,1=呀
ss,1=送
kl,1=况
lz,1=楼
mg,1=梦
xs,1=兄
lq,1=六
re,1=热
ij,1=产
ph,1=旁
lk,1=另
xp,1=写
nl,1=娘
dn,1=掉
ia,1=差
dr,1=段
dy,1=顿
mu,1=木
xu,1=需
lw,1=类
tj,1=谈
nb,1=您
kf,1=肯
qy,1=群
mi,1=米
vv,1=追
xr,1=选
tv,1=推
gd,1=改
pi,1=皮
kc,1=靠
cy,1=存
yj,1=严
md,1=买
fo,1=佛
mc,1=毛
nu,1=怒
tu,1=图
sv,1=岁
uy,1=顺
fz,1=否
pd,1=排
rg,1=仍
en,1=恩
vx,1=抓
zu,1=组
sy,1=孙
jr,1=卷
iy,1=春
cc,1=草
is,1=充
ju,1=据
ka,1=卡
gv,1=贵
fu,1=副
hr,1=换
ns,1=弄
cg,1=层
ic,1=超
an,1=按
bo,1=波
rz,1=肉
ue,1=设
hk,1=坏
vo,1=桌
mz,1=某
ch,1=藏
hy,1=混
xy,1=寻
pu,1=普
nk,1=宁
nq,1=牛
lh,1=浪
sd,1=赛
lt,1=略
nc,1=闹
xi,1=洗
mp,1=灭
tc,1=套
su,1=束
za,1=杂
gx,1=挂
kh,1=抗
iz,1=抽
il,1=创
to,1=托
ln,1=聊
pw,1=配
zy,1=尊
ou,1=欧
vj,1=占
lv,1=绿
lp,1=列
sf,1=森
pg,1=碰
rr,1=软
zg,1=增
ky,1=困
hg,1=横
hj,1=含
hu,1=互
tg,1=疼
iv,1=吹
uk,1=帅
pj,1=判
if,1=尘
va,1=扎
gy,1=滚
cj,1=餐
sc,1=扫
dq,1=丢
ce,1=测
pb,1=拼
ao,1=奥
nn,1=鸟
zj,1=赞
kr,1=宽
ca,1=擦
tp,1=贴
ee,1=额
pn,1=票
cu,1=粗
zw,1=贼
nd,1=乃
nr,1=暖
gu,1=估
pk,1=瓶
rc,1=绕
sa,1=撒
qs,1=穷
mo,1=末
qn,1=桥
zr,1=钻
kv,1=亏
ty,1=吞
zh,1=脏
th,1=汤
sh,1=桑
bb,1=宾
jy,1=均
rv,1=锐
qx,1=恰
ry,1=润
ku,1=酷
kx,1=夸
ua,1=啥
cz,1=凑
sz,1=搜
mn,1=秒
ko,1=扩
cv,1=催
dp,1=跌
sg,1=僧
ux,1=刷
np,1=捏
wa,1=挖
cr,1=窜
pf,1=盆
yo,1=哟
nf,1=嫩
kg,1=坑
vd,1=宅
lj,1=栏
nh,1=囊
bg,1=蹦
id,1=拆
wg,1=翁
